Название	Цена	Система размораживания холодильной камеры	Количество камер	Количество дверей	Инверторный компрессор	Размеры (Ширина)	Размеры (Высота)	Размеры (Глубина)	Тип_Винный шкаф	Тип_Холодильная витрина	Тип_Холодильник	Расположение морозильной камеры_отсутствует	Расположение морозильной камеры_сбоку	Расположение морозильной камеры_сверху	Расположение морозильной камеры_слева	Расположение морозильной камеры_снизу	Класс энергопотребления_A	Класс энергопотребления_A+	Класс энергопотребления_A++	Класс энергопотребления_B	Класс энергопотребления_C	Класс энергопотребления_E	Класс энергопотребления_F	Класс энергопотребления_G
Холодильник двухкамерный Indesit DS 4160 G серебристый/черный	0.05201149932097568	капельное	0.3333333333333333	0.2	0.0	0.46215139442231074	0.7265625	0.6484605402854784	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRT 143 032 белый	0.043863207463976435	капельное	0.3333333333333333	0.2	0.0	0.42231075697211157	0.5026041666666666	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник однокамерный Indesit ITD 125 W белый	0.04231115187216706	капельное	0.0	0.0	0.0	0.46215139442231074	0.5078125	0.7074436711100626	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант MXM-2835-08 серебристый	0.04873101818374222	капельное	0.3333333333333333	0.2	0.0	0.46215139442231074	0.7057291666666666	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант XM-4624-101 белый	0.059948147233637276	капельное	0.3333333333333333	0.2	0.0	0.4555112881806109	0.8817708333333334	0.6590775038339035	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник однокамерный STINOL STD 125 белый	0.04319300164024057	капельное	0.0	0.0	0.0	0.46215139442231074	0.5078125	0.7015453580276041	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Gorenje RK4181PW4 белый	0.05911920845164818	капельное	0.3333333333333333	0.2	0.0	0.3957503320053121	0.7942708333333334	0.5741417954465023	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Beko B5RCNK403ZWB Total No Frost, инверторный черный/серый	0.09786768726079825	No Frost	0.3333333333333333	0.2	1.0	0.4555112881806109	0.9036458333333334	0.6838504187802289	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Hisense RB434N4BC2 Total No Frost, нержавеющая сталь	0.09700171078855006	No Frost	0.3333333333333333	0.2	0.0	0.451527224435591	0.8984375	0.6248672879556447	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Beko RCNK310KC0S серебристый	0.06523924584207834	No Frost	0.3333333333333333	0.2	0.0	0.3824701195219124	0.8151041666666666	0.6248672879556447	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Beko DSF5240M00W белый	0.04848410024868163	капельное	0.3333333333333333	0.2	0.0	0.3824701195219124	0.6161458333333334	0.6248672879556447	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник однокамерный NORDFROST NR 507 W белый	0.028571932485581757	капельное	0.0	0.0	0.0	0.32934926958831345	0.3046875	0.5422909048012269	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник трехкамерный Hyundai CS5073FV Total No Frost, Side by Side, инверторный шампань	0.1825252649958553	No Frost	0.6666666666666666	0.4	1.0	0.8751660026560424	0.8098958333333334	0.6909283944791789	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Midea MDRB521MIE46OD Full No Frost, инверторный серебристый	0.10756803470960687	No Frost	0.3333333333333333	0.2	1.0	0.4555112881806109	0.9078125	0.6956470449451457	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRT 141 032 белый	0.045979646907352865	капельное	0.3333333333333333	0.2	0.0	0.4276228419654715	0.6369791666666668	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный MAUNFELD MFF186NFRR красный	0.1709201220480079	No Frost	0.3333333333333333	0.2	0.0	0.3824701195219124	0.828125	0.6248672879556447	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Бирюса Б-124 белый(восстановленный)	0.0	капельное	0.3333333333333333	0.2	0.0	0.30278884462151395	0.6796875	0.6307656010381031	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Бирюса Б-W920NF графит(восстановленный)	0.04744351752235489	No Frost	0.3333333333333333	0.2	0.0	0.46215139442231074	0.7682291666666666	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRB 152 X нержавеющая сталь(мех.повреждения)	0.0534489144429355	капельное	0.3333333333333333	0.2	0.0	0.4276228419654715	0.8380208333333333	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Винный шкаф двухкамерный MAUNFELD MBWC-112S40 вместимость: 40 бутылок, Side by Side, черный	0.19601756644738003	ручное	0.3333333333333333	0.2	0.0	0.4555112881806109	0.2838541666666667	0.6402029019700366	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Холодильник двухкамерный MAUNFELD MFF185NFS Inverter инверторный серый	0.13180126633626696	No Frost	0.3333333333333333	0.2	1.0	0.4555112881806109	0.8229166666666666	0.6744131178482954	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Бирюса Б-C960NF серебристый	0.07585671704968341	No Frost	0.3333333333333333	0.2	0.0	0.46215139442231074	0.8463541666666666	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Gorenje NRKI519141 белый	0.17636818991516606	ручное	0.3333333333333333	0.2	0.0	0.44223107569721115	0.9182291666666668	0.6071723487082694	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Gorenje NRK6202EBXL4 черный(мех.повреждения)	0.07008941956648265	No Frost	0.3333333333333333	0.2	0.0	0.46215139442231074	0.8984375	0.6154299870237113	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант XM-4008-022 белый(мех.повреждения)	0.04178204201132295	капельное	0.3333333333333333	0.2	0.0	0.46215139442231074	0.5963541666666666	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Indesit DS 4160 W белый(мех.повреждения)	0.04443640981322422	капельное	0.3333333333333333	0.2	0.0	0.46215139442231074	0.7265625	0.6720537926153121	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный SCHAUB LORENZ SLU C201D0 X бежевый мрамор	0.11173036561491384	No Frost	0.3333333333333333	0.2	0.0	0.4555112881806109	0.9036458333333334	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный SCHAUB LORENZ SLU S473D4EI Side by Side, инверторный нержавеющая сталь	0.1498968235771354	No Frost	0.3333333333333333	0.2	1.0	0.7715803452855245	0.7864583333333334	0.7074436711100626	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный SCHAUB LORENZ SLU S473GY4EI Side by Side, инверторный черный	0.15871532125787052	No Frost	0.3333333333333333	0.2	1.0	0.7715803452855245	0.7864583333333334	0.7074436711100626	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный SCHAUB LORENZ SLU S551G4EI Side by Side, инверторный нержавеющая сталь	0.17651104957759395	No Frost	0.3333333333333333	0.2	1.0	0.8671978751660027	0.7786458333333334	0.7074436711100626	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Indesit DS 4180 W белый(мех.повреждения)	0.04761106897828886	капельное	0.3333333333333333	0.2	0.0	0.46215139442231074	0.8203125	0.6720537926153121	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Bosch KGV36VWEA белый(мех.повреждения)	0.09066297465563766	ручное	0.3333333333333333	0.2	0.0	0.46215139442231074	0.8255208333333334	0.6838504187802289	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Холодильник двухкамерный HAIER C4F740CBXGU1 No Frost, инверторный черная сталь	0.17636818991516606	No Frost	0.3333333333333333	0.2	1.0	0.4555112881806109	0.8984375	0.7215996225079627	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный HAIER C4F740CLBGU1 No Frost, инверторный коричневый	0.15873119455369583	No Frost	0.3333333333333333	0.2	1.0	0.4555112881806109	0.8984375	0.7215996225079627	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный HAIER C4F740CDBGU1 No Frost, инверторный графит	0.16754969223443095	No Frost	0.3333333333333333	0.2	1.0	0.4555112881806109	0.8984375	0.7215996225079627	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный HAIER HRF-541DY7RU No Frost, Side by Side, инверторный серый	0.2116421806381065	No Frost	0.3333333333333333	0.2	1.0	0.8711819389110226	0.78125	0.6803114309307539	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный LG GW-B509SEUM инверторный бежевый(мех.повреждения)	0.0	No Frost	0.3333333333333333	0.2	1.0	0.4555112881806109	0.9140625	0.7215996225079627	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник трехкамерный HAIER HTF-425DM7RU No Frost, Side by Side, инверторный серебристый	0.22222437785498864	No Frost	0.6666666666666666	0.6	1.0	0.7715803452855245	0.8020833333333334	0.6838504187802289	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Винный шкаф однокамерный HAIER FWC49GA вместимость: 49 бутылок, черный	0.13933049965607858	ручное	0.0	0.0	0.0	0.32536520584329354	0.2838541666666667	0.6071723487082694	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Beko B3R1CNK363HW инверторный белый	0.08023069189932804	No Frost	0.3333333333333333	0.2	1.0	0.4555112881806109	0.8255208333333334	0.6838504187802289	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Beko B3RCNK362HG Total No Frost, серый	0.08023069189932804	No Frost	0.3333333333333333	0.2	0.0	0.4555112881806109	0.8255208333333334	0.6838504187802289	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Beko B1RCSK362G серый	0.06082999700171079	капельное	0.3333333333333333	0.2	0.0	0.4555112881806109	0.8255208333333334	0.6838504187802289	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Beko RDSK240M00G серый	0.050247799784828656	капельное	0.3333333333333333	0.2	0.0	0.3824701195219124	0.6161458333333334	0.6248672879556447	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Винный шкаф однокамерный TESLER CWC-400 вместимость: 44 бутылок, серебристый/черный	0.11192437256389001	ручное	0.0	0.0	0.0	0.23638778220451528	0.5140625	0.4856670992096261	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Винный шкаф однокамерный TESLER CWC-360 вместимость: 36 бутылок, серебристый/черный	0.10308823788779344	ручное	0.0	0.0	0.0	0.23638778220451528	0.37916666666666665	0.4856670992096261	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Винный шкаф однокамерный TESLER CWC-300 вместимость: 27 бутылок, серебристый/черный	0.07411065450889787	ручное	0.0	0.0	0.0	0.23638778220451528	0.2942708333333333	0.4479178954818922	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Винный шкаф однокамерный TESLER CWC-300 вместимость: 27 бутылок, черный/серебристый	0.07411065450889787	ручное	0.0	0.0	0.0	0.23638778220451528	0.2942708333333333	0.4479178954818922	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный KRAFT KF-NF293D графит	0.06647383551738126	No Frost	0.3333333333333333	0.2	0.0	0.3957503320053121	0.7942708333333334	0.6248672879556447	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный KRAFT KF-DF205W DeFrosf, белый	0.05007142983121395	ручное	0.3333333333333333	0.2	0.0	0.38911022576361226	0.7317708333333334	0.5599858440486021	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный KRAFT KF-DC290X DeFrosf, серебристый металлик	0.05642074816134323	ручное	0.3333333333333333	0.2	0.0	0.3957503320053121	0.7942708333333334	0.5776807832959774	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный KRAFT KF-DC290W DeFrosf, белый	0.054657048625196214	ручное	0.3333333333333333	0.2	0.0	0.3957503320053121	0.7942708333333334	0.5776807832959774	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник однокамерный Бирюса B-6143 белый	0.05529198045820914	ручное	0.0	0.0	0.0	0.46215139442231074	0.7942708333333334	0.6543588533679368	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Бирюса B-920NF Full No Frost, белый	0.06993068660822942	No Frost	0.3333333333333333	0.2	0.0	0.46215139442231074	0.7682291666666666	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Бирюса Б-940NF белый	0.08264696026384945	No Frost	0.3333333333333333	0.2	0.0	0.46215139442231074	0.8567708333333334	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Бирюса B-960NF черная сталь	0.081430007583908	No Frost	0.3333333333333333	0.2	0.0	0.46215139442231074	0.8463541666666666	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник однокамерный Бирюса B-M6143 серый металлик	0.05984232526146845	ручное	0.0	0.0	0.0	0.46215139442231074	0.7942708333333334	0.6543588533679368	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильная витрина однокамерный Бирюса B-461RDNQ белый	0.0965978235947724	ручное	0.0	0.0	0.0	0.5551128818061088	0.8958333333333334	0.7074436711100626	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Gorenje NRKI517141 белый	0.15871532125787052	ручное	0.3333333333333333	0.2	0.0	0.44223107569721115	0.8348958333333334	0.6071723487082694	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRB 162NF S серебристый	0.06765551420659977	капельное	0.3333333333333333	0.2	0.0	0.4276228419654715	0.8380208333333333	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRB 161NF S серебристый	0.06361664226882309	капельное	0.3333333333333333	0.2	0.0	0.4276228419654715	0.7546875000000001	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRB 122 W белый	0.0	капельное	0.3333333333333333	0.2	0.0	0.4276228419654715	0.7197916666666666	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник однокамерный NORDFROST NR 508 B черный	0.033263373251732835	капельное	0.0	0.0	0.0	0.3306772908366534	0.4140625	0.5446502300342103	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRT 144 132 серебристый	0.05333427397308595	капельное	0.3333333333333333	0.2	0.0	0.4276228419654715	0.7796875	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRT 145 132 серебристый	0.04961286795181573	капельное	0.3333333333333333	0.2	0.0	0.4276228419654715	0.665625	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный NORDFROST NRT 141 132 серебристый	0.04726714756874019	капельное	0.3333333333333333	0.2	0.0	0.4276228419654715	0.6369791666666668	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант XM-4426-049 ND Full No Frost, нержавеющая сталь	0.09924337289899293	No Frost	0.3333333333333333	0.2	0.0	0.4555112881806109	0.9338541666666668	0.6543588533679368	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Атлант ХМ-4608-101 белый	0.05509797350923297	капельное	0.3333333333333333	0.2	0.0	0.4555112881806109	0.5963541666666666	0.6590775038339035	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный WEISSGAUFF WRK 2000 Full No Frost, инверторный белый	0.12693345561650118	No Frost	0.3333333333333333	0.2	1.0	0.46215139442231074	0.8723958333333334	0.7251386103574378	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный WEISSGAUFF WRK 2000 Total NoFrost Inverter White инверторный белый	0.1052399513218928	No Frost	0.3333333333333333	0.2	1.0	0.46215139442231074	0.8723958333333334	0.7251386103574378	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный WEISSGAUFF WRK 2000 Total NoFrost Inverter Inox инверторный нержавеющая сталь	0.0	No Frost	0.3333333333333333	0.2	1.0	0.46215139442231074	0.8723958333333334	0.7251386103574378	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный WEISSGAUFF WRK 2000 Total NoFrost Inverter Black Glass Full No Frost, инверторный черный	0.12529321504788443	No Frost	0.3333333333333333	0.2	1.0	0.46215139442231074	0.8723958333333334	0.7251386103574378	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный WEISSGAUFF WRK 185 Total NoFrost Inverter White Glass Full No Frost, инверторный белый	0.10816769255189686	No Frost	0.3333333333333333	0.2	1.0	0.46215139442231074	0.8203125	0.7251386103574378	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный WEISSGAUFF WRK 185 Full No Frost, инверторный белый	0.0971269334556165	No Frost	0.3333333333333333	0.2	1.0	0.46215139442231074	0.8203125	0.7251386103574378	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный WEISSGAUFF WRK 185 Total NoFrost Inverter Inox Full No Frost, инверторный нержавеющая сталь	0.10081306548616378	No Frost	0.3333333333333333	0.2	1.0	0.46215139442231074	0.8203125	0.7251386103574378	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный KRAFT KF-NF272X нержавеющая сталь	0.0	No Frost	0.3333333333333333	1.0	0.0	0.3094289508632138	0.68125	0.6225079627226613	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный KRAFT KF-MS5701BI Side by Side, инверторный черный	0.15994991093317343	No Frost	0.3333333333333333	0.2	1.0	0.8671978751660027	0.7786458333333334	0.7074436711100626	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный KRAFT KF-MS4801BI Side by Side, инверторный черный	0.1257341399319212	No Frost	0.3333333333333333	0.2	1.0	0.8605577689243028	0.7786458333333334	0.6130706617907279	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Винный шкаф однокамерный Rondell RDE-1950 вместимость: 18 бутылок, черный	0.054251397731882395	ручное	0.0	0.0	0.0	0.00398406374501993	0.34375	0.5010027132240179	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Холодильник однокамерный ZIGMUND & SHTAIN FR 11 W белый	0.024674156510696838	ручное	0.0	0.0	0.0	0.24966799468791503	0.125	0.4715111478117259	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный LEX LKB201WGIDMax Total No Frost, белый	0.12257535406268188	No Frost	0.3333333333333333	0.2	0.0	0.4555112881806109	0.9036458333333334	0.7192402972749794	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Indesit TIA 14 G серебристый/черный	0.0458385509444611	ручное	0.3333333333333333	0.2	0.0	0.46215139442231074	0.6119791666666666	0.6484605402854784	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник однокамерный Саратов 451-003 черный	0.04497433817174906	ручное	0.0	0.0	0.0	0.30278884462151395	0.4640625	0.6248672879556447	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник однокамерный Liebherr Rd 5000 белый	0.1437415121959823	капельное	0.0	0.0	0.0	0.4581673306772909	0.71875	0.7133419841925209	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Liebherr CTele 2931 серебристый	0.11446409989594172	автоматическое	0.3333333333333333	0.2	0.0	0.3957503320053121	0.6749999999999999	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Liebherr CTele 2531 серебристый	0.10404063563731283	капельное	0.3333333333333333	0.2	0.0	0.3957503320053121	0.5864583333333333	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Liebherr CTe 2931 белый	0.08822025079807404	капельное	0.3333333333333333	0.2	0.0	0.3957503320053121	0.6749999999999999	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Liebherr CTe 2531 белый	0.09520450096121624	капельное	0.3333333333333333	0.2	0.0	0.3957503320053121	0.5864583333333333	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Liebherr CUele 2831 серебристый	0.11504612074287024	капельное	0.3333333333333333	0.2	0.0	0.3957503320053121	0.6963541666666666	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Холодильник двухкамерный Liebherr CUele 2331 серебристый	0.10483430042857898	капельное	0.3333333333333333	0.2	0.0	0.3957503320053121	0.5713541666666666	0.6602571664503952	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
